기준연월,업종대분류명,소비액(천원)
202203,숙박업,421321.0
202203,여행업,32589.0
202203,운송업,83312.0
202203,쇼핑업,278275.0
202203,여가서비스업,63945.0
202203,식음료업,340838.0
202204,숙박업,683622.0
202204,여행업,34601.0
202204,운송업,162006.0
202204,쇼핑업,422510.0
202204,여가서비스업,96149.0
202204,식음료업,590273.0
202205,숙박업,1047943.0
202205,여행업,41012.0
202205,운송업,349738.0
202205,쇼핑업,659541.0
202205,여가서비스업,116230.0
202205,식음료업,1158568.0
202206,숙박업,1572878.0
202206,여행업,63410.0
202206,운송업,447356.0
202206,쇼핑업,803927.0
202206,여가서비스업,142828.0
202206,식음료업,1425986.0
202207,숙박업,1981614.0
202207,여행업,93454.0
202207,운송업,361067.0
202207,쇼핑업,1074088.0
202207,여가서비스업,254712.0
202207,식음료업,1638180.0
202208,숙박업,2377008.0
202208,여행업,141396.0
202208,운송업,402173.0
202208,쇼핑업,973184.0
202208,여가서비스업,201731.0
202208,식음료업,1481123.0
202209,숙박업,1599945.0
202209,여행업,62665.0
202209,운송업,530605.0
202209,쇼핑업,902833.0
202209,여가서비스업,155978.0
202209,식음료업,1533780.0
202210,숙박업,2494203.0
202210,여행업,92463.0
202210,운송업,794979.0
202210,쇼핑업,1483599.0
202210,여가서비스업,241370.0
202210,식음료업,2258227.0
202211,숙박업,1871850.0
202211,여행업,45217.0
202211,운송업,594747.0
202211,쇼핑업,1300982.0
202211,여가서비스업,169964.0
202211,식음료업,1757483.0
202212,숙박업,1706511.0
202212,여행업,63162.0
202212,운송업,674999.0
202212,쇼핑업,1489771.0
202212,여가서비스업,158449.0
202212,식음료업,1729300.0
202301,숙박업,1019749.0
202301,여행업,35130.0
202301,운송업,276713.0
202301,쇼핑업,1092294.0
202301,여가서비스업,76576.0
202301,식음료업,953653.0
202302,숙박업,902269.0
202302,여행업,42567.0
202302,운송업,204394.0
202302,쇼핑업,752169.0
202302,여가서비스업,83532.0
202302,식음료업,747570.0
202303,숙박업,1904290.0
202303,여행업,51203.0
202303,운송업,862832.0
202303,쇼핑업,1667722.0
202303,여가서비스업,179126.0
202303,식음료업,1889333.0
202304,숙박업,4243052.0
202304,여행업,54408.0
202304,운송업,1397773.0
202304,쇼핑업,3676493.0
202304,여가서비스업,404202.0
202304,식음료업,4581370.0
202305,숙박업,5180340.0
202305,여행업,79217.0
202305,운송업,1404515.0
202305,쇼핑업,4862777.0
202305,여가서비스업,724521.0
202305,식음료업,5912929.0
202306,숙박업,6081231.0
202306,여행업,94991.0
202306,운송업,1355710.0
202306,쇼핑업,5775381.0
202306,여가서비스업,734549.0
202306,식음료업,8069579.0
202307,숙박업,7565927.0
202307,여행업,133001.0
202307,운송업,1104942.0
202307,쇼핑업,6395859.0
202307,여가서비스업,1124950.0
202307,식음료업,9657372.0
202308,숙박업,8189676.0
202308,여행업,162331.0
202308,운송업,1095327.0
202308,쇼핑업,7323205.0
202308,여가서비스업,1078897.0
202308,식음료업,1.0077884E7
202203,전체,1220280.0
202204,전체,1989161.0
202205,전체,3373031.0
202206,전체,4456386.0
202207,전체,5403115.0
202208,전체,5576615.0
202209,전체,4785807.0
202210,전체,7364842.0
202211,전체,5740243.0
202212,전체,5822191.0
202301,전체,3454115.0
202302,전체,2732501.0
202303,전체,6554506.0
202304,전체,1.4357298E7
202305,전체,1.8164299E7
202306,전체,2.2111442E7
202307,전체,2.5982051E7
202308,전체,2.792732E7
