순위,명칭,수량,순매출액(달러),순매출액(원)
1,Cosmetic,307920,11804166.59,13993317670
2,Cigarette,330387,5714424.02,6773096200
3,Whisky,28202,3319200.89,3934292450
4,Bag,14153,3192494.5,3786015680
5,Perfume,24919,2023515.24,2398993050
6,Red Ginseng,19577,1930434.81,2288888200
7,Sunglass,6920,1360126.57,1612649410
8,S.L.G.,9738,1275760.37,1512601060
9,Watch,6846,1264861.01,1499906250
10,Custom jewelry,9349,1048332.61,1243143000
11,Chocolate,30623,646011.99,765672150
12,Spirit,3465,290099.79,343851500
13,Belt,2545,284193.13,336861880
14,Brandy,2074,249358.78,295482070
15,Toy,3931,115794.86,137365160
16,Scarf,293,63023.68,74773510
17,Pen,623,42952.36,50970500
18,Necktie,315,32586.63,38625780
19,Lighter,153,32027.39,37988760
